sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,1.131,3,20.44,-20.44,-1.0,-7.56,0.00306771,0.52272495,0.07705424,0.61148367,-0.15481336,-0.06811618,0.06700413,-0.0507404,0.03231681,-0.00988554,0.02628954,-0.023638,-0.0076366,-0.00044275,0.0304322,-0.00148112,-0.00024757,-4.034e-05,2.78e-06,0.00023875,0.00141615,8e-08,-3.11e-06,6e-08,2.8e-07,0.00041581
1,1.131,4,-20.44,-20.44,-41.88,-7.56,0.12839252,0.52238788,0.07738648,0.56016019,-0.15515215,-0.0572461,0.06207575,-0.05102913,0.03714662,-0.00745484,0.02453725,-0.01914306,-0.00606075,-0.00575272,0.03036017,-0.00137462,0.00046412,-2.423e-05,3.848e-05,0.00059347,0.00141079,-1.97e-06,-2.58e-06,3.5e-07,9e-08,0.0004159
1,1.131,5,-20.44,20.44,-41.88,33.32,0.12898164,0.39888164,0.06236575,0.60603494,-0.10924663,-0.04860081,0.07690318,-0.02391695,0.03486568,-0.00721452,0.0291453,-0.01608686,-0.00222131,-0.00328225,0.03083134,-0.0007578,0.00027583,-4.46e-06,1.619e-05,0.00059327,0.00106565,-1.12e-06,-1.06e-06,1.3e-07,-2e-08,0.00041568
1,1.293,1,0.0,0.0,-21.44,12.88,0.06592123,0.46106647,0.06123619,0.55266435,-0.1159798,-0.05227616,0.06621795,-0.03290527,0.0302107,-0.00805721,0.02540641,-0.01780939,-0.00424284,-0.00213031,0.02681748,-0.0009797,5.061e-05,-1.82e-05,1.286e-05,0.00036342,0.00108667,-6.4e-07,-1.8e-06,1.3e-07,9e-08,0.00036363
1,1.293,2,20.44,20.44,-1.0,33.32,0.00308182,0.39914244,0.05567214,0.58734129,-0.09189508,-0.05919076,0.07067265,-0.01872038,0.02880089,-0.00836873,0.02670542,-0.02054342,-0.00298862,-0.00020126,0.02703391,-0.00075309,-0.00022981,-1.19e-05,8.8e-07,0.00020595,0.00093649,9e-08,-1.27e-06,3e-08,5e-08,0.00036353
1,1.293,3,20.44,-20.44,-1.0,-7.56,0.00306771,0.52272495,0.06759784,0.53488077,-0.13593306,-0.05958148,0.05861582,-0.04468205,0.02826769,-0.00864478,0.02299809,-0.02067625,-0.00667983,-0.00038728,0.02661869,-0.00129553,-0.00021655,-3.528e-05,2.43e-06,0.00020884,0.00123873,7e-08,-2.72e-06,5e-08,2.4e-07,0.00036371
1,1.293,4,-20.44,-20.44,-41.88,-7.56,0.12839252,0.52238788,0.06789306,0.48997136,-0.13624585,-0.05006046,0.05430483,-0.04494412,0.03248919,-0.00652568,0.02146531,-0.01673992,-0.00530139,-0.00503199,0.02655567,-0.00120239,0.00040594,-2.119e-05,3.366e-05,0.00051912,0.00123404,-1.73e-06,-2.26e-06,3.1e-07,8e-08,0.00036379
1,1.293,5,-20.44,20.44,-41.88,33.32,0.12898164,0.39888164,0.05466919,0.53004894,-0.09606051,-0.04249856,0.0672616,-0.02121072,0.03050749,-0.00631213,0.02549144,-0.01406672,-0.00194301,-0.00287104,0.02696783,-0.00066287,0.00024127,-3.9e-06,1.416e-05,0.00051895,0.00093214,-9.8e-07,-9.3e-07,1.1e-07,-1e-08,0.00036359
1,1.454,1,0.0,0.0,-21.44,12.88,0.06592123,0.46106647,0.05459426,0.49145044,-0.10357927,-0.04648172,0.05888579,-0.02951752,0.02686699,-0.00716479,0.02259323,-0.01583526,-0.00377304,-0.00189443,0.02384744,-0.00087122,4.5e-05,-1.618e-05,1.143e-05,0.00032318,0.00096635,-5.7e-07,-1.6e-06,1.1e-07,8e-08,0.00032337
1,1.454,2,20.44,20.44,-1.0,33.32,0.00308182,0.39914244,0.04959132,0.52223427,-0.08214696,-0.05263637,0.06284161,-0.01689493,0.02561195,-0.00743742,0.0237464,-0.01826858,-0.00265768,-0.00017898,0.02403991,-0.0006697,-0.00020436,-1.058e-05,7.8e-07,0.00018314,0.00083279,8e-08,-1.13e-06,3e-08,5e-08,0.00032327
